Timestamp,DRA0010_COATING_DIAMETER
="2022-12-01 11:58:34.766",5027.0
="2022-12-01 11:58:10.248",5028.0
="2022-12-01 11:57:45.742",5027.0
="2022-12-01 11:57:21.962",5036.0
="2022-12-01 11:56:57.445",5038.0
="2022-12-01 11:56:32.929",5030.0
="2022-12-01 11:56:06.950",5039.0
="2022-12-01 11:55:40.224",5029.0
="2022-12-01 11:55:15.716",5039.0
="2022-12-01 11:54:52.180",5036.0
="2022-12-01 11:54:26.681",5033.0
="2022-12-01 11:54:03.394",5026.0
="2022-12-01 11:53:38.385",5030.0
="2022-12-01 11:53:13.389",5029.0
="2022-12-01 11:52:48.860",5039.0
="2022-12-01 11:52:22.873",5027.0
="2022-12-01 11:51:57.866",5034.0
="2022-12-01 11:50:46.842",5039.0
="2022-12-01 11:50:21.345",5038.0
="2022-12-01 11:49:57.069",5031.0
="2022-12-01 11:49:32.061",5034.0
="2022-12-01 11:49:06.802",5034.0
="2022-12-01 11:48:42.285",5033.0
="2022-12-01 11:48:17.539",5026.0
="2022-12-01 11:47:52.042",5038.0
="2022-12-01 11:47:27.523",5022.0
="2022-12-01 11:47:02.517",5031.0
="2022-12-01 11:46:39.229",5039.0
="2022-12-01 11:46:14.710",5037.0
="2022-12-01 11:45:49.213",5032.0
="2022-12-01 11:45:24.205",5038.0
="2022-12-01 11:44:59.458",5031.0
="2022-12-01 11:44:35.431",5032.0
="2022-12-01 11:44:09.932",5034.0
="2022-12-01 11:43:44.925",5039.0
="2022-12-01 11:43:20.648",5029.0
="2022-12-01 11:42:55.651",5039.0
="2022-12-01 11:42:30.632",5027.0
="2022-12-01 11:42:05.126",5038.0
="2022-12-01 11:41:40.358",5032.0
="2022-12-01 11:41:15.821",5034.0
="2022-12-01 11:40:50.813",5033.0
="2022-12-01 11:40:26.536",5038.0
="2022-12-01 11:40:01.519",5037.0
="2022-12-01 11:39:36.490",5032.0
="2022-12-01 11:39:11.473",5038.0
="2022-12-01 11:38:46.946",5037.0
="2022-12-01 11:38:22.668",5037.0
="2022-12-01 11:37:57.160",5033.0
="2022-12-01 11:37:32.383",5033.0
="2022-12-01 11:37:07.855",5035.0
="2022-12-01 11:36:43.588",5031.0
="2022-12-01 11:36:18.570",5030.0
="2022-12-01 11:35:51.833",5026.0
="2022-12-01 11:35:26.076",5030.0
="2022-12-01 11:35:01.549",5021.0
="2022-12-01 11:34:36.531",5030.0
="2022-12-01 11:34:11.023",5025.0
="2022-12-01 11:33:44.536",5022.0
="2022-12-01 11:33:19.028",5021.0
="2022-12-01 11:32:54.511",5032.0
="2022-12-01 11:32:29.494",5032.0
="2022-12-01 11:32:03.977",5029.0
="2022-12-01 11:31:39.708",5031.0
="2022-12-01 11:31:14.932",5035.0
="2022-12-01 11:30:50.893",5021.0
="2022-12-01 11:30:25.886",5033.0
="2022-12-01 11:30:00.858",5018.0
="2022-12-01 11:29:34.871",5020.0
="2022-12-01 11:29:08.874",5039.0
="2022-12-01 11:28:45.336",5027.0
="2022-12-01 11:28:19.839",5019.0
="2022-12-01 11:27:53.600",5031.0
="2022-12-01 11:27:28.843",5011.0
="2022-12-01 11:27:03.586",5025.0
="2022-12-01 11:26:39.809",5030.0
="2022-12-01 11:26:15.541",5024.0
="2022-12-01 11:25:51.762",5021.0
="2022-12-01 11:25:25.536",5020.0
="2022-12-01 11:25:01.508",5024.0
="2022-12-01 11:24:36.501",5028.0
="2022-12-01 11:24:10.513",5024.0
="2022-12-01 11:23:45.996",5017.0
="2022-12-01 11:23:22.209",5025.0
="2022-12-01 11:22:56.220",5018.0
="2022-12-01 11:22:31.223",5026.0
="2022-12-01 11:22:06.217",5015.0
="2022-12-01 11:21:41.939",5025.0
="2022-12-01 11:21:16.931",5018.0
="2022-12-01 11:20:51.444",5024.0
="2022-12-01 11:20:24.726",5019.0
="2022-12-01 11:20:00.449",5015.0
="2022-12-01 11:19:35.451",5011.0
="2022-12-01 11:19:10.923",5018.0
="2022-12-01 11:18:46.905",5028.0
="2022-12-01 11:18:21.408",5024.0
="2022-12-01 11:17:56.161",5017.0
="2022-12-01 11:17:31.143",5023.0
="2022-12-01 11:17:06.385",5012.0
="2022-12-01 11:16:42.358",5023.0
="2022-12-01 11:16:17.600",5029.0
="2022-12-01 11:15:52.593",5026.0
="2022-12-01 11:15:27.585",5020.0
="2022-12-01 11:15:02.828",5021.0
="2022-12-01 11:14:36.840",5018.0
